"id","stage","reason"
"GSE12418","hard","No vital_status / days_to_death survival annotation"
"GSE12470","hard","No survival annotation; includes healthy controls"
"GSE20565","hard","Differential diagnosis study; no survival endpoint"
"GSE2109","hard","IGC multi-tumor atlas; no survival endpoint"
"GSE44104","hard","No survival annotation"
"GSE6008","hard","In vitro LPA-stimulation profile; no survival endpoint"
"GSE6822","hard","Tumor classification study; no survival endpoint; includes cell lines"
"PMID15897565","hard","No survival annotation in curated metadata"
"GSE30009","modality","Pre-defined 359-gene signature panel (p < 1,000)"
"TCGA.mirna.8x15kv2","modality","miRNA platform; incompatible with mRNA transfer learning"
"GSE32063","duplicate_cohort","Duplicate of GSE32062.GPL6480 (smaller validation subset)"
"TCGA.RNASeqV2","duplicate_cohort","Duplicate TCGA cohort on RNA-seq platform; keep TCGA microarray"
"GSE8842","quality","Fewer than 15 deceased events among tumor samples"
"PMID19318476","quality","Early-stage cohort; excluded by vignette createEsetList.R"
"GSE19829.GPL570","quality","Fewer than 40 tumor samples"
