"id","eset_name","n","p","n_tumor","n_genes","n_deceased","n_analysis","analysis_ready","load_error"
"E.MTAB.386","E.MTAB.386_eset",73,10357,NA,10357,NA,73,TRUE,NA
"GSE13876","GSE13876_eset",113,20577,NA,20577,NA,113,TRUE,NA
"GSE14764","GSE14764_eset",21,13104,NA,13104,NA,21,TRUE,NA
"GSE17260","GSE17260_eset",46,20106,NA,20106,NA,46,TRUE,NA
"GSE18520","GSE18520_eset",41,19816,NA,19816,NA,41,TRUE,NA
"GSE19829.GPL8300","GSE19829.GPL8300_eset",23,8995,NA,8995,NA,23,TRUE,NA
"GSE26193","GSE26193_eset",76,19816,NA,19816,NA,76,TRUE,NA
"GSE26712","GSE26712_eset",129,13104,NA,13104,NA,129,TRUE,NA
"GSE30161","GSE30161_eset",36,19816,NA,19816,NA,36,TRUE,NA
"GSE32062.GPL6480","GSE32062.GPL6480_eset",121,20106,NA,20106,NA,121,TRUE,NA
"GSE49997","GSE49997_eset",57,16048,NA,16048,NA,57,TRUE,NA
"GSE51088","GSE51088_eset",93,8211,NA,8211,NA,93,TRUE,NA
"GSE9891","GSE9891_eset",113,19816,NA,19816,NA,113,TRUE,NA
"PMID17290060","PMID17290060_eset",67,13104,NA,13104,NA,67,TRUE,NA
"TCGA","TCGA_eset",290,13104,NA,13104,NA,290,TRUE,NA
