"","x"
"1","ACSS3"
"2","AKR1C1///AKR1C2"
"3","APBA2"
"4","APCS"
"5","CCDC40"
"6","CD151"
"7","CFHR3///CFHR4"
"8","CHMP1B"
"9","CLCF1"
"10","COX7C"
"11","CPS1"
"12","CYCSP19"
"13","DHRS4///DHRS4L2"
"14","DRD3"
"15","EPHA7"
"16","ESR1"
"17","EXOG"
"18","FABP7"
"19","GSE1"
"20","GYS2"
"21","HAS1"
"22","HDAC11"
"23","HIST1H2BJ"
"24","HKDC1"
"25","IL6R"
"26","KIAA1024"
"27","KIF20B"
"28","KIF2A"
"29","LPCAT1"
"30","LRIT1"
"31","MYH2"
"32","MYL3"
"33","NAB1"
"34","NDUFA7"
"35","NEFL"
"36","ONECUT1"
"37","PCSK2"
"38","PDYN"
"39","PLA2G10"
"40","PMVK"
"41","PON2"
"42","PRG4"
"43","PTEN///PTENP1"
"44","PTGDR2"
"45","PTGS2"
"46","PTHLH"
"47","QDPR"
"48","RBM15B"
"49","RBMY1HP///RBMY1B///RBMY1A1///RBMY1E///RBMY1D///RBMY1F///RBMY1J"
"50","RCL1"
"51","RNF121///IL18BP"
"52","SEC14L3"
"53","SEC14L4///SEC14L6"
"54","SIX3"
"55","SLCO3A1"
"56","SNTB2"
"57","TBC1D12"
"58","TEX11"
"59","TLDC1"
"60","TRIM49B///TRIM49///TRIM49C"
"61","TSGA10"
"62","TSHZ2"
"63","TXNRD1"
"64","TYRP1"
"65","UGT2B17"
"66","URI1"
"67","ZMIZ1"
"68","ZNF131"
"69","ZNF155"
